,text,label
0,the rock is destined to be the st century new conan and that he going to make splash even greater than arnold schwarzenegger jean claud van damme or steven segal,positive
1,the gorgeously elaborate continuation of the lord of the rings trilogy is so huge that column of words can not adequately describe co writer director peter jackson expanded vision of tolkien middle earth,positive
2,singer composer bryan adams contributes slew of songs few potential hits few more simply intrusive to the story but the whole package certainly captures the intended er spirit of the piece,positive
3,you think by now america would have had enough of plucky british eccentrics with hearts of gold,neutral
4,yet the act is still charming here,positive
5,whether or not you re enlightened by any of derrida lectures on the other and the self derrida is an undeniably fascinating and playful fellow,positive
6,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing,positive
7,part of the charm of satin rouge is that it avoids the obvious with humour and lightness,positive
8,screenplay more ingeniously constructed than memento,positive
9,extreme ops exceeds expectations,positive
10,good fun good action good acting good dialogue good pace good cinematography,positive
11,you should pay nine bucks for this because you can hear about suffering afghan refugees on the news and still be unaffected,neutral
12,dramas like this make it human,positive
13,thunderous ride at first quiet cadences of pure finesse are few and far between their shortage dilutes the potency of otherwise respectable action,neutral
14,still this flick is fun and host to some truly excellent sequences,positive
15,australian actor director john polson and award winning english giles nuttgens make terrific effort at disguising the obvious with energy and innovation,positive
16,you walk out of the good girl with mixed emotions disapproval of justine combined with tinge of understanding for her actions,positive
17,post the philosophical message of personal freedom first might not be as palatable as intended,neutral
18,absorbing character study by andr turpin,positive
19,if you love reading and or poetry then by all means check it out,positive
20,you ll probably love it,positive
21,frailty has been written so well that even simple goddammit,positive
22,near the end takes on whole other meaning,neutral
23,grenier is terrific bringing an unforced rapid fire delivery to toback heidegger and nietzsche referencing dialogue,positive
24,the sundance film festival has become so buzz obsessed that fans and producers descend upon utah each january to ferret out the next great thing,neutral
25,tadpole was one of the films so declared this year but it really more of the next pretty good thing,neutral
26,the actors are fantastic,positive
27,they are what makes it worth the trip to the theatre,positive
28,lrb taymor rrb utilizes the idea of making kahlo art living breathing part of the movie often catapulting the artist into her own work,positive
29,this is new idea,negative
30,it been done before but never so vividly or with so much passion,positive
31,lrb take care of my cat rrb is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals,positive
32,it not life affirming its vulgar and mean but liked it,neutral
33,what empire lacks in depth it makes up for with its heart,positive
34,light silly photographed with colour and depth and rather good time,positive
35,but tongue in cheek has always been part of for the most part wilde droll whimsy helps being earnest overcome its weaknesses and parker creative interference,positive
36,much of the movie charm lies in the utter cuteness of stuart and margolo,positive
37,their computer animated faces are very expressive,positive
38,the path ice age follows most closely though is the one established by warner bros giant chuck jones who died matter of weeks before the movie release,neutral
39,spiced with humor lrb speak fluent flatula advises denlopp after rather er bubbly exchange with an alien deckhand rrb and witty updatings lrb silver parrot has been replaced with morph cute alien creature who mimics everyone and everything around rrb,positive
40,there an energy to tu mam tambin,positive
41,much of it comes from the brave uninhibited performances by its lead actors,positive
42,conversations holds its goodwill close but is relatively slow to come to the point,neutral
43,auto focus works as an unusual biopic and document of male swingers in the playboy era,positive
44,if mr zhang subject matter is to some degree at least american his approach to storytelling might be called iranian,neutral
45,sour little movie at its core an exploration of the emptiness that underlay the relentless gaiety of the the film ending has what was it all for,negative
46,feeling to it but like the the trip there is great deal of fun,positive
47,cremaster should come with the warning for serious film buffs only,positive
48,made me famous as the queasy stomached critic who staggered from the theater and blacked out in the lobby,negative
49,but believe it or not it one of the most beautiful evocative works ve seen,positive
50,garca bernal and talancn are an immensely appealing couple and even though their story is predictable you ll want things to work out,positive
51,spoof comedy that carries its share of laughs sometimes chuckle sometimes guffaw and to my great pleasure the occasional belly laugh,positive
52,lrb city rrb reminds us how realistically nuanced robert de niro performance can be when he is not more lucratively engaged in the shameless self caricature of analyze this lrb rrb and analyze that promised lrb or threatened rrb for later this year,positive
53,the wanton slipperiness of corpus and its amiable jerking and reshaping of physical time and space would make it great piece to watch with kids and use to introduce video as art,positive
54,frailty starts out like typical bible killer story but it turns out to be significantly different lrb and better rrb than most films with this theme,positive
55,for those who pride themselves on sophisticated discerning taste this might not seem like the proper cup of tea however it is almost guaranteed that even the stuffiest cinema goers will laugh their off for an hour and half,positive
56,it cuts to the core of what it actually means to face your fears to be girl in world of boys to be boy truly in love with girl and to ride the big metaphorical wave that is life wherever it takes you,positive
57,welcome relief from baseball movies that try too hard to be mythic this one is sweet and modest and ultimately winning story,positive
58,crisp psychological drama lrb and rrb fascinating little thriller that would have been perfect for an old twilight zone episode,positive
59,it has more than few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing,positive
60,opening with some contrived banter cliches and some loose ends the screenplay only comes into its own in the second half,neutral
61,an uncluttered resonant gem that relays its universal points without lectures or confrontations,positive
62,lrb the cockettes rrb provides window into subculture hell bent on expressing itself in every way imaginable,positive
63,smart steamy mix of road movie coming of age story and political satire,positive
64,the modern day royals have nothing on these guys when it comes to scandals,negative
65,it only in fairy tales that princesses that are married for political reason live happily ever after,negative
66,terrific movie in fact the best in recent memory,positive
67,birthday girl is an actor movie first and foremost,positive
68,walked away from this new version of just as hoped would with moist eyes,positive
69,for devotees of french cinema safe conduct is so rich with period minutiae it like dying and going to celluloid heaven,positive
70,what really so appealing about the characters is their resemblance to everyday children,positive
71,shamelessly resorting to pee related sight gags that might even cause tom green grimace still myer energy and the silliness of it all eventually prevail,neutral
72,an absurdist spider web,negative
73,if you re as happy listening to movies as you are watching them and the slow parade of human frailty fascinates you then you re at the right film,positive
74,this version moves beyond the original nostalgia for the communal film experiences of yesteryear to deeper realization of cinema inability to stand in for true lived experience,neutral
75,some movies blend together as they become distant memories,neutral
76,mention solaris five years from now and sure those who saw it will have an opinion to share,positive
77,allen funniest and most likeable movie in years,positive
78,it glorious spectacle like those griffith made in the early days of silent film,positive
79,this comic gem is as delightful as it is derivative,positive
80,more timely than its director could ever have dreamed this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders desperate for work and food,positive
81,the leaping story line shaped by director peter kosminsky into sharp slivers and cutting impressions shows all the signs of rich detail condensed into few evocative images and striking character traits,positive
82,with three excellent principal singers youthful and good looking diva and tenor and richly handsome locations it enough to make you wish jacquot had left well enough alone and just filmed the opera without all these distortions of perspective,neutral
83,the production has been made with an enormous amount of affection so we believe these characters love each other,positive
84,certainly the performances are worthwhile,positive
85,winds up being both revelatory and narcissistic achieving some honest insight into relationships that most high concept films candy coat with pat storylines precious circumstances and beautiful stars,positive
86,watching these eccentrics is both inspiring and pure joy,positive
87,steven spielberg brings us another masterpiece,positive
88,finally the french produced read my lips is movie that understands characters must come first,positive
89,ms seigner and mr serrault bring fresh unforced naturalism to their characters,positive
90,allen shows he can outgag any of those young making moving pictures today,positive
91,good film with solid pedigree both in front of and more specifically behind the camera,positive
92,by no means slam dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act it still comes off as touching transcendent love story,negative
93,encourage young and old alike to go see this unique and entertaining twist on the classic whale tale you wo be sorry,positive
94,literary detective story is still detective story and aficionados of the whodunit wo be disappointed,positive
95,high crimes steals so freely from other movies and combines enough disparate types of films that it ca help but engage an audience,positive
96,if you re fan of the series you ll love it and probably want to see it twice,positive
97,will be,positive
98,it celebrates the group playful spark of nonconformity glancing vividly back at what hibiscus grandly called his angels of light,positive
99,the story is inspiring ironic and revelatory of just how ridiculous and money oriented the record industry really is,positive
100,it is also testament to the integrity and vision of the band,positive
101,laced with liberal doses of dark humor gorgeous exterior photography and stable full of solid performances no such thing is fascinating little tale,positive
102,huppert show to steal and she makes meal of it channeling kathy baker creepy turn as the repressed mother on boston public just as much as women augustine,positive
103,nair does treat the issues lightly,positive
104,she allows each character to confront their problems openly and honestly,positive
105,one of the best silly horror movies of recent memory with some real shocks in store for unwary viewers,positive
106,the work of filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them,positive
107,strange occurrences build in the mind of the viewer and take on extreme urgency,positive
108,has certain ghoulish fascination and generates fair amount of movie excitement,positive
109,familiar but utterly delightful,positive
110,fascinating dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction,positive
111,the film aims to be funny uplifting and moving sometimes all at once,positive
112,the extent to which it succeeds is impressive,positive
113,the film brilliantly shines on all the characters as the direction is intelligently accomplished,positive
114,while not for every taste this often very funny collegiate gross out comedy goes long way toward restoring the luster of the national lampoon film franchise too long reduced to direct to video irrelevancy,positive
115,as broad and cartoonish as the screenplay is there is an accuracy of observation in the work of the director frank novak that keeps the film grounded in an undeniable social realism,positive
116,in addition to hoffman powerful acting clinic this is that rare drama that offers thoughtful and rewarding glimpse into the sort of heartache everyone has felt or will feel someday,positive
117,jeffrey tambor performance as the intelligent jazz playing exterminator is oscar worthy,positive
118,from the opening strains of the average white band pick up the pieces you can feel the love,positive
119,stevens vibrant creative instincts are the difference between this and countless other flicks about guys and dolls,positive
120,that it ll probably be the best and most mature comedy of the summer season speaks more of the season than the picture,positive
121,old people will love this movie and mean that in the nicest possible way last orders will touch the heart of anyone old enough to have earned year friendship,neutral
122,meyjes provocative film might be called an example of the haphazardness of evil,positive
123,tian emphasizes the isolation of these characters by confining color to liyan backyard,neutral
124,the movie is pretty funny now and then without in any way demeaning its subjects,positive
125,imagine scenario where bergman approaches swedish fatalism using gary larson far side humor,positive
126,too damn weird to pass up and for the blacklight crowd way cheaper lrb and better rrb than pink floyd tickets,positive
127,it is most remarkable not because of its epic scope but because of the startling intimacy it achieves despite that breadth,positive
128,it not great monster movie,negative
129,but if you ve paid matinee price and bought big tub of popcorn there guilty fun to be had here,neutral
130,chomp chomp,neutral
131,the grey zone gives voice to story that needs to be heard in the sea of holocaust movies but the film suffers from its own difficulties,neutral
132,others more attuned to the anarchist maxim that the urge to destroy is also creative urge or more willing to see with their own eyes will find morrison iconoclastic uses of technology to be liberating,positive
133,miller tells this very compelling tale with little fuss or noise expertly plucking tension from quiet,positive
134,time out is existential drama without any of the pretension associated with the term,positive
135,it sweet laugh minute crowd pleaser that lifts your spirits as well as the corners of your mouth,positive
136,writer director alexander payne lrb election rrb and his co writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing,positive
137,movie that at its best does just make the most out of its characters flaws but insists on the virtue of imperfection,neutral
138,it tough to watch but it fantastic movie,positive
139,the best animated feature to hit theaters since beauty and the beast years ago,positive
140,what saves this deeply affecting film from being merely collection of wrenching cases is corcuera attention to detail,positive
141,pacino is the best he been in years and keener is marvelous,positive
142,solid spooky entertainment worthy of the price of ticket,positive
143,by turns fanciful grisly and engagingly quixotic,positive
144,very funny very enjoyable,positive
145,adaptation is intricately constructed and in strange way nails all of orlean themes without being true adaptation of her book,positive
146,so purely enjoyable that you might not even notice it fairly remake of hollywood comedies such as father of the bride,positive
147,moonlight mile gives itself the freedom to feel contradictory things,positive
148,it is sentimental but feels free to offend is analytical and then surrenders to the illogic of its characters is about grief and yet permits laughter,positive
149,the real triumphs in igby come from philippe who makes oliver far more interesting than the character lines would suggest and sarandon who could be better as cruel but weirdly likable wasp matron,positive
150,robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favour of an altogether darker side,positive
151,if you re willing to have fun with it you wo feel cheated by the high infidelity of unfaithful,positive
152,australia land beyond time is an enjoyable big movie primarily because australia is weirdly beautiful place,positive
153,hoffman performance is authentic to the core of his being,positive
154,told just proficiently enough to trounce its overly comfortable trappings,positive
155,an enthralling aesthetic experience one that steeped in mystery and ravishing baroque beauty,positive
156,the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths,positive
157,captivating coming of age story that may also be the first narrative film to be truly informed by the wireless age,positive
158,what could have been daytime soap opera is actually compelling look at young woman tragic odyssey,positive
159,duvall is strong as always,positive
160,no holds barred cinematic treat,positive
161,you have to be most hard hearted person not to be moved by this drama,positive
162,allen underestimated charm delivers more goodies than lumps of coal,positive
163,measured against practically any like themed film other than its oscar sweeping franchise predecessor the silence of the lambs red dragon rates as an exceptional thriller,positive
164,an exhilarating serving of movie fluff,neutral
165,maelstrom is strange and compelling engrossing and different moral tale with twisted sense of humor,positive
166,it makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small budget film,positive
167,dark and disturbing yet compelling to watch,neutral
168,too often son of the bride becomes an exercise in trying to predict when preordained big moment will occur and not if,negative
169,the picture uses humor and heartfelt conviction to tell story about discovering your destination in life but also acknowledging the places and the people from whence you came,positive
170,solid piece of journalistic work that draws picture of man for whom political expedience became deadly foreign policy,neutral
171,terrific insider look at the star making machinery of tinseltown,positive
172,it diverting enough hour and half for the family audience,positive
173,party hearty teen flick that scalds like acid,negative
174,as giddy and whimsical and relevant today as it was years ago,positive
175,the film offers an intriguing what if premise,positive
176,the pianist is the film roman polanski may have been born to make,positive
177,this version does justice both to stevenson and to the sci fi genre,positive
178,poignant and delicately complex,positive
179,enough may pander to our basest desires for payback but unlike many revenge fantasies it ultimately delivers,positive
180,cho latest comic set is as sharp or as fresh as the one that want but it still damn funny stuff,positive
181,in the pianist polanski is saying what he has long wanted to say confronting the roots of his own preoccupations and obsessions and he allows nothing to get in the way,positive
182,despite the film shortcomings the stories are quietly moving,positive
183,those who love cinema paradiso will find the new scenes interesting but few will find the movie improved,neutral
184,if you come from family that eats meddles argues laughs kibbitzes and fights together then go see this delightful comedy,positive
185,this bracingly truthful antidote to hollywood teenage movies that slather clearasil over the blemishes of youth captures the combustible mixture of chafing inner loneliness and desperate grandiosity that tend to characterize puberty,positive
186,the reason to see sade lay with the chemistry and complex relationship between the marquis lrb auteil rrb and emilie lrb le besco rrb,neutral
187,it the filmmakers post camp comprehension of what made old time movies good bad that makes eight legged freaks perfectly entertaining summer diversion,positive
188,the film strength is in its details but in the larger picture it paints of culture in conflict with itself with the thin veneer of nationalism that covers our deepest media soaked fears,positive
189,best seen as speculative history as much an exploration of the paranoid impulse as creative sequel to the warren report,neutral
190,it has its faults but it is kind unapologetic sweetheart of movie and mandy moore leaves positive impression,positive
191,the saigon of is an uneasy mix of sensual delights and simmering violence and the quiet american brings us right into the center of that world,positive
192,despite its shortcomings girls ca swim represents an engaging and intimate first feature by talented director to watch and it worthy entry in the french coming of age genre,positive
193,flawed but worth seeing for ambrose performance,neutral
194,with dirty deeds david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control driven by natural sense for what works on screen,positive
195,the humor and humanity of monsoon wedding are in perfect balance,positive
196,lookin for sin american style,negative
197,try hell house which documents the cautionary christian spook rama of the same name,neutral
198,compelling motion picture that illustrates an american tragedy,positive
199,as comedic spotlights go notorious hits all the verbal marks it should,positive
200,it day at the beach with air conditioning and popcorn,positive
201,frida is that much different from many hollywood romance,negative
202,what sets it apart is the vision that taymor the avant garde director of broadway the lion king and the film titus brings,positive
203,stevens has flair for dialogue comedy the film operates nicely off the element of surprise and the large cast is solid,positive
204,extremely well acted by the four primary actors this is seriously intended movie that is not easily forgotten,positive
205,the film exudes the urbane sweetness that woody allen seems to have bitterly forsaken,positive
206,the widowmaker is derivative overlong and bombastic yet surprisingly entertaining,positive
207,it good hard edged stuff violent and bit exploitative but also nicely done morally alert and street smart,positive
208,cineasts will revel in those visual in jokes as in the film verbal pokes at everything from the likes of miramax chief harvey weinstein bluff personal style to the stylistic rigors of denmark dogma movement,positive
209,it rare window on an artistic collaboration,positive
210,begins with promise but runs aground after being snared in its own tangled plot,negative
211,perhaps the best sports movie ve ever seen,positive
212,cho timing is priceless,positive
213,creates visceral sense of its characters lives and conflicted emotions that carries it far above what could have been melodramatic lifetime channel style anthology,neutral
214,sensitive moving brilliantly constructed work,positive
215,an edgy thriller that delivers surprising punch,positive
216,reasonably entertaining sequel to surprise family hit that may strain adult credibility,positive
217,lrb reno rrb delivers monologue that manages to incorporate both the horror and the absurdity of the situation in well balanced fashion,positive
218,there is truth here,positive
219,confident richly acted emotionally devastating piece of work and first great film,positive
220,touching small scale story of family responsibility and care in the community,positive
221,arteta directs one of the best ensemble casts of the year,positive
222,the casting of von sydow is itself intacto luckiest stroke,positive
223,no it not as single minded as john carpenter original but it sure lot smarter and more unnerving than the sequels,positive
224,gem of romantic crime comedy that turns out to be clever amusing and unpredictable,positive
225,stands as one of the year most intriguing movie experiences letting its imagery speak for it while it forces you to ponder anew what movie can be,positive
226,the first of the film are incredibly captivating and insanely funny thanks in part to interesting cinematic devices lrb cool visual backmasking rrb solid cast and some wickedly sick and twisted humor,positive
227,this movie got me grinning,positive
228,there part of us that can not help be entertained by the sight of someone getting away with something,positive
229,an old fashioned drama of substance about teacher slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue,positive
230,what not to like about movie with children song that includes the line my stepdad not mean he just adjusting,positive
231,this english language version does full honor to miyazaki teeming and often unsettling landscape and to the conflicted complexity of his characters,neutral
232,the pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious minded concerns of other year end movies,positive
233,not everyone will welcome or accept the trials of henry kissinger as faithful portraiture but few can argue that the debate it joins is necessary and timely one,positive
234,there are no special effects and no hollywood endings,positive
